Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_miss             # of LTS requests from unit L1 accessing device memory (vidmem) for writes that missed            
l1tex__t_set_conflicts_pipe_lsu_mem_local_op_st                             # of extra cycles spent on set conflicts for local stores                                         
lts__t_bytes                                                                # of bytes requested                                                                              
lts__t_requests_op_write_lookup_hit                                         # of LTS requests for writes that hit                                                             
lts__t_sectors_srcunit_l1_aperture_device_op_membar_lookup_hit              # of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers that hit       
smsp__inst_executed_op_generic_atom                                         # of warp instructions executed: ATOM.*                                                           
smsp__pipe_tensor_cycles_active                                             # of cycles where tensor pipe was active                                                          
lts__t_requests_aperture_device_lookup_miss                                 # of LTS requests accessing device memory (vidmem) that missed                                    
dram__cycles_active_write                                                   # of cycles where DRAM was active for writes                                                      
smsp__sass_thread_inst_executed_op_integer_pred_on                          # of integer thread instructions executed where all predicates were true                          
sm__inst_executed_pipe_xu                                                   # of warp instructions executed by xu pipe                                                        
lts__t_sectors_aperture_sysmem_op_atom_lookup_hit                           # of LTS sectors accessing system memory (sysmem) for all atomics that hit                        
lts__t_requests_srcunit_l1_aperture_peer_op_write                           # of LTS requests from unit L1 accessing peer memory (peermem) for writes                         
lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_miss                  # of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that missed            
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read                          # of LTS sectors from unit TEX accessing system memory (sysmem) for reads                         
lts__t_sectors_srcunit_tex_aperture_peer_op_atom                            # of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics                    
lts__t_requests_aperture_sysmem_op_read_lookup_hit                          # of LTS requests accessing system memory (sysmem) for reads that hit                             
lts__t_sectors_aperture_sysmem_op_red                                       # of LTS sectors accessing system memory (sysmem) for reductions                                  
smsp__sass_inst_executed_op_memory_128b                                     # of warp instructions executed by memory instructions with width 128 bit                         
l1tex__t_requests_pipe_lsu_mem_global_op_red                                # of requests sent to T-Stage for global reductions                                               
smsp__inst_executed_op_shared_ld                                            # of warp instructions executed: LDS                                                              
lts__t_sectors_op_atom_dot_cas                                              # of LTS sectors for atomic CAS                                                                   
lts__t_requests_srcunit_l1_aperture_peer_op_red                             # of LTS requests from unit L1 accessing peer memory (peermem) for reductions                     
lts__t_requests_srcunit_tex_op_read_lookup_miss                             # of LTS requests from unit TEX for reads that missed                                          
lts__t_requests_srcunit_l1_aperture_sysmem_op_read_lookup_miss              # of LTS requests from unit L1 accessing system memory (sysmem) for reads that missed          
lts__t_requests_aperture_sysmem_op_membar_lookup_hit                        # of LTS requests accessing system memory (sysmem) for memory barriers that hit                
lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_hit              # of LTS requests from unit L1 accessing system memory (sysmem) for writes that hit            
l1tex__t_output_wavefronts_pipe_tex_realtime                                # of wavefronts sent to Data-Stage from T-Stage for texture and surface instructions           
sm__ctas_restored                                                           # of CTA preemption-restore events                                                             
smsp__inst_executed_op_generic_st                                           # of warp instructions executed: ST                                                            
tpc__cycles_in_region                                                       # of cycles in user-defined region                                                             
smsp__inst_executed_pipe_tensor_op_hmma                                     # of warp instructions executed by tensor_op_hmma pipe                                         
l1tex__t_bytes_pipe_tex_mem_surface_lookup_hit                              # of bytes requested with tag-hit and data-hit for surface                                     
l1tex__t_requests_pipe_tex_mem_texture                                      # of requests sent to T-Stage from the L1TEX X-Stage for textures                              
smsp__l1tex_lsuin_requests                                                  # of local/global/shared/attribute/S2R/SHFL instructions sent to LSU                           
l1tex__data_pipe_lsu_wavefronts_cmd_write                                   # of local/global/shared write wavefronts processed by Data-Stage                              
smsp__inst_executed_op_shared_st_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: STS                      
l1tex__t_sectors_pipe_tex_mem_surface_op_red                                # of sectors requested for surface reductions                                                  
lts__t_requests_aperture_device                                             # of LTS requests accessing device memory (vidmem)                                             
l1tex__t_output_wavefronts_pipe_lsu                                         # of wavefronts sent to Data-Stage from T-Stage for LSU pipe local/global                      
lts__t_sectors_srcunit_l1_lookup_miss                                       # of LTS sectors from unit L1 that missed                                                      
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld                            # of LDS wavefronts processed by Data-Stage                                                    
lts__t_requests_srcunit_l1_aperture_sysmem_op_write                         # of LTS requests from unit L1 accessing system memory (sysmem) for writes                     
lts__t_requests_aperture_sysmem_op_atom_dot_cas                             # of LTS requests accessing system memory (sysmem) for atomic CAS                              
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_red                          # of bytes written to L2# of sectors written to L2 for surface reductions                      
lts__t_sectors_aperture_peer_op_membar                                      # of LTS sectors accessing peer memory (peermem) for memory barriers                           
lts__t_sectors_op_read_lookup_miss                                          # of LTS sectors for reads that missed                                                         
l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_hit                        # of bytes requested with tag-hit and data-hit for TLD instructions                            
smsp__inst_executed_op_generic_ld_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: LD                       
lts__t_requests_srcunit_l1_aperture_sysmem_lookup_miss                      # of LTS requests from unit L1 accessing system memory (sysmem) that missed                    
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st                         # of sectors written to L2 for surface stores                                                  
lts__t_sectors_aperture_peer_op_atom_lookup_miss                            # of LTS sectors accessing peer memory (peermem) for all atomics that missed                   
lts__t_sectors_srcunit_l1_aperture_device_op_red_lookup_hit                 # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions that hit         
lts__t_sectors_srcunit_l1_op_atom_dot_cas_lookup_hit                        # of LTS sectors from unit L1 for atomic CAS that hit                                          
smsp__inst_executed_op_global_st_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: STG                      
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld                       # of wavefronts sent to Data-Stage from T-Stage for surface loads                              
smsp__sass_thread_inst_executed_op_dadd_pred_on                             # of DADD thread instructions executed where all predicates were true                          
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas_lookup_hit        # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS that hit         
sm__cycles_in_region                                                        # of cycles in user-defined region                                                             
lts__t_sectors_aperture_peer_op_atom_dot_cas_lookup_hit                     # of LTS sectors accessing peer memory (peermem) for atomic CAS that hit                       
l1tex__t_sectors_pipe_tex_lookup_hit                                        # of sector requests to T-Stage with tag-hit and data-hit for TEX pipe                         
lts__t_sectors_aperture_device_op_write_lookup_miss                         # of LTS sectors accessing device memory (vidmem) for writes that missed                       
lts__t_sectors_srcunit_tex_aperture_device_op_membar                        # of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers            
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red                      # of wavefronts sent to Data-Stage from T-Stage for surface reductions                         
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st                              # of sectors written to L2 for local/global stores                                             
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit                        # of sector requests to T-Stage with tag-hit and data-hit for local loads                      
lts__t_requests_srcunit_tex_aperture_peer                                   # of LTS requests from unit TEX accessing peer memory (peermem)                                
smsp__inst_executed_pipe_alu                                                # of warp instructions executed by alu pipe                                                    
lts__d_atomic_input_cycles_active                                           # of cycles where the atomic unit's input was active                                           
lts__t_sectors_srcunit_l1_aperture_peer_op_read_lookup_miss                 # of LTS sectors from unit L1 accessing peer memory (peermem) for reads that missed            
lts__t_requests_srcunit_tex_aperture_device_op_atom_lookup_miss             # of LTS requests from unit TEX accessing device memory (vidmem) for all atomics that missed   
lts__t_sectors_srcunit_l1_op_membar_lookup_hit                              # of LTS sectors from unit L1 for memory barriers that hit                                     
lts__t_requests_srcunit_tex_aperture_device_lookup_miss                     # of LTS requests from unit TEX accessing device memory (vidmem) that missed                   
smsp__thread_inst_executed_pred_off                                         # of thread instructions executed where guard predicate was false                              
smsp__sass_inst_executed_op_shared_atom                                     # of warp instructions executed: ATOMS ATOM                                                    
smsp__inst_executed_op_local_st_pred_off_all                                # of warp instructions executed with all threads predicated off: STL                           
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st                        # of wavefronts sent to Data-Stage from T-Stage for global stores                              
lts__t_sectors_srcunit_tex_aperture_peer_lookup_miss                        # of LTS sectors from unit TEX accessing peer memory (peermem) that missed                     
smsp__sass_inst_executed_op_texture                                         # of warp instructions executed: texture                                                       
l1tex__data_bank_conflicts_pipe_lsu_mem_global                              # of data bank conflicts generated by global ops                                               
smsp__sass_sectors_mem_local                                                # of local memory sectors accessed                                                             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_miss               # of LTS sectors from unit TEX accessing peer memory (peermem) for writes that missed          
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas                  # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS                 
lts__t_sectors_srcunit_l1                                                   # of LTS sectors from unit L1                                                                  
smsp__warps_issue_stalled_selected                                          cumulative # of warps selected by the microscheduler to issue an instruction                   
lts__t_requests_op_read_lookup_hit                                          # of LTS requests for reads that hit                                                           
lts__t_requests_srcunit_l1_aperture_sysmem_op_red_lookup_miss               # of LTS requests from unit L1 accessing system memory (sysmem) for reductions that missed     
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_lookup_hit                  # of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics that hit         
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss                     # of sector requests to T-Stage that missed for surface stores                                 
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_hit             # of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers that hit   
l1tex__t_requests_pipe_tex_mem_surface_op_red                               # of requests sent to T-Stage for surface reductions                                           
smsp__inst_executed_op_shared_ld_pred_off_all                               # of warp instructions executed with all threads predicated off: LDS                           
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_local_op_ld                     # of sectors requested for local loads                                                         
lts__t_requests_aperture_peer                                               # of LTS requests accessing peer memory (peermem)                                              
lts__t_requests_srcunit_tex_aperture_peer_op_atom                           # of LTS requests from unit TEX accessing peer memory (peermem) for all atomics                
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit               # of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics that hit       
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss                     # of sector requests to T-Stage that missed for global reductions                              
fe__cycles_elapsed                                                          # of cycles elapsed on FE                                                                      
lts__t_sectors_aperture_peer_op_atom_lookup_hit                             # of LTS sectors accessing peer memory (peermem) for all atomics that hit                      
smsp__warps_issue_stalled_math_pipe_throttle                                cumulative # of warps waiting for an execution pipe to be available                            
lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_hit                 # of LTS sectors from unit L1 accessing peer memory (peermem) for writes that hit              
smsp__sass_inst_executed_op_local_st                                        # of warp instructions executed: STL, ST                                                       
l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_miss                     # of bytes requested that missed for surface atomics                                           
smsp__inst_executed_op_surface_st_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: SUST                     
lts__t_sectors_srcunit_l1_aperture_peer_lookup_hit                          # of LTS sectors from unit L1 accessing peer memory (peermem) that hit                         
lts__t_requests_srcunit_l1_op_atom_lookup_miss                              # of LTS requests from unit L1 for all atomics that missed                                     
smsp__inst_executed_op_surface_atom_dot_alu_pred_off_all                    # of warp instructions executed with all threads predicated off: SUATOM.ALU (non-CAS)          
lts__t_requests_aperture_peer_op_atom                                       # of LTS requests accessing peer memory (peermem) for all atomics                              
lts__t_sectors_aperture_sysmem_lookup_miss                                  # of LTS sectors accessing system memory (sysmem) that missed                                  
lts__t_sectors_aperture_sysmem_op_write_lookup_hit                          # of LTS sectors accessing system memory (sysmem) for writes that hit                          
l1tex__t_bytes_pipe_tex_lookup_miss                                         # of bytes requested that missed for TEX pipe                                                  
lts__t_sectors_srcunit_l1_op_atom                                           # of LTS sectors from unit L1 for all atomics                                                  
sm__pipe_tensor_op_imma_cycles_active                                       # of cycles where IMMA tensor pipe was active                                                  
smsp__inst_executed_pipe_fp64_pred_on_any                                   # of warp instructions executed by fp64 with at least 1 thread predicated on                   
fbpa__cycles_in_region                                                      # of cycles in user-defined region                                                             
l1tex__t_requests_pipe_lsu                                                  # of requests sent to T-Stage from the LSU instruction pipeline                                
l1tex__lsuin_requests                                                       # of local/global/shared/attribute instructions sent to LSU                                    
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture_op_ld                  # of bytes requested for TLD instructions                                                      
lts__t_requests_srcunit_tex_aperture_peer_op_write                          # of LTS requests from unit TEX accessing peer memory (peermem) for writes                     
lts__t_requests_srcunit_tex_aperture_sysmem_lookup_hit                      # of LTS requests from unit TEX accessing system memory (sysmem) that hit                      
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red                        # of sectors written to L2 for surface reductions                                              
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_miss            # of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers that missed
lts__t_sectors                                                              # of LTS sectors                                                                               
smsp__sass_l1tex_tags_mem_global                                            # of L1 cache tag lookups generated by global memory instructions                                   
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom                         # of sectors read from L2 into L1TEX M-Stage for global atomics                                     
sm__inst_executed_pipe_tensor                                               # of warp instructions executed by tensor pipe                                                      
fbpa__dram_cycles_elapsed                                                   # of cycles elapsed on DRAM                                                                         
lts__t_requests_aperture_peer_lookup_miss                                   # of LTS requests accessing peer memory (peermem) that missed                                       
lts__t_requests_aperture_sysmem_op_write_lookup_miss                        # of LTS requests accessing system memory (sysmem) for writes that missed                           
dram__cycles_elapsed                                                        # of elapsed DRAM command clock cycles (CK)                                                         
l1tex__cycles_elapsed                                                       # of cycles elapsed on L1TEX                                                                        
l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit                    # of sector requests to T-Stage with tag-hit and data-hit for surface atomics                       
lts__t_requests_aperture_device_op_read                                     # of LTS requests accessing device memory (vidmem) for reads                                        
l1tex__t_set_conflicts_pipe_tex_mem_texture                                 # of extra cycles spent on set conflicts for texture                                                
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld                          # of sectors read from L2 into L1TEX M-Stage for surface loads                                      
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_atom                          # of extra cycles spent on set conflicts for global atomics                                         
gpu__draw_count                                                             # of draw calls sent to GPU                                                                         
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture                        # of bytes requested for texture                                                                    
lts__t_sectors_srcunit_l1_aperture_sysmem                                   # of LTS sectors from unit L1 accessing system memory (sysmem)                                      
sm__mio_pq_read_cycles_active_pipe_tex                                      # of cycles where MIOP PQ sent register operands to the tex pipe                                    
smsp__inst_executed_op_generic_atom_pred_on_any                             # of warp instructions executed with at least 1 thread predicated on: ATOM.*                        
l1tex__t_requests_pipe_lsu_mem_local_op_st                                  # of requests sent to T-Stage for local stores                                                      
lts__t_requests_srcunit_l1_aperture_peer_lookup_hit                         # of LTS requests from unit L1 accessing peer memory (peermem) that hit                             
smsp__inst_executed_op_shared_ld_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: LDS                           
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_st                   # of sectors requested for surface stores                                                           
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_hit                 # of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics that hit             
lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_miss                # of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that missed           
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu                  # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS)            
l1tex__t_requests_pipe_lsu_mem_global_op_atom                               # of requests sent to T-Stage for global atomics                                                    
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit                       # of LTS sectors from unit TEX for atomic ALU (non-CAS) that hit                                    
sm__inst_executed_pipe_fp64                                                 # of warp instructions executed by fp64 pipe                                                        
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_alu                  # of LTS requests from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS)            
lts__t_sectors_srcunit_l1_op_write_lookup_miss                              # of LTS sectors from unit L1 for writes that missed                                                
l1tex__t_sectors_pipe_tex_mem_surface                                       # of sectors requested for surface                                                                  
l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_hit                       # of bytes requested with tag-hit and data-hit for TEX instructions                                 
l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_miss                    # of sector requests to T-Stage that missed for surface reductions                                  
lts__t_requests_srcunit_tex_aperture_device_op_write_lookup_miss            # of LTS requests from unit TEX accessing device memory (vidmem) for writes that missed             
lts__t_requests_aperture_peer_op_write_lookup_hit                           # of LTS requests accessing peer memory (peermem) for writes that hit                               
l1tex__t_bytes_pipe_tex_mem_surface_op_red                                  # of bytes requested for surface reductions                                                         
fe__cycles_in_frame                                                         # of cycles in user-defined frame                                                                   
lts__t_sectors_aperture_peer                                                # of LTS sectors accessing peer memory (peermem)                                                    
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_red                           # of bytes written to L2# of sectors written to L2 for global reductions                            
gpc__cycles_in_region                                                       # of cycles in user-defined region                                                                  
smsp__sass_thread_inst_executed_op_inter_thread_communication_pred_on       # of inter-thread communication thread instructions executed where all predicates were true         
lts__t_requests_srcunit_tex_aperture_peer_op_write_lookup_hit               # of LTS requests from unit TEX accessing peer memory (peermem) for writes that hit                 
smsp__inst_executed_op_surface_red_pred_off_all                             # of warp instructions executed with all threads predicated off: SURED                              
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st                         # of wavefronts sent to Data-Stage from T-Stage for local stores                                    
smsp__pipe_tensor_op_hmma_cycles_active                                     # of cycles where HMMA tensor pipe was active                                                       
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_miss      # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS) that missed
smsp__warps_issue_stalled_not_selected                                      cumulative # of warps waiting for the microscheduler to select the warp to issue                    
lts__t_sectors_srcunit_l1_aperture_device_op_red                            # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions                       
lts__t_requests_op_atom_dot_cas                                             # of LTS requests for atomic CAS                                                                    
lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_hit               # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that hit            
l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_miss                         # of bytes requested that missed for local stores                                                   
lts__t_requests_srcunit_l1_op_read_lookup_miss                              # of LTS requests from unit L1 for reads that missed                                                
lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_miss              # of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that missed      
l1tex__texin_requests_mem_surface                                           # of surface requests sent to TEXIN                                                                 
sm__cycles_in_frame                                                         # of cycles in user-defined frame                                                                   
l1tex__t_requests_pipe_tex_mem_texture_op_tex                               # of requests sent to T-Stage from the TEX pipe for TEX instructions                                
smsp__sass_thread_inst_executed_op_conversion_pred_on                       # of conversion thread instructions executed where all predicates were true                         
lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_hit                 # of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that hit              
l1tex__texin_requests_mem_surface_op_ld                                     # of requests sent to TEXIN for surface load instructions (SULD)                                    
smsp__inst_executed_op_global_red_pred_off_all                              # of warp instructions executed with all threads predicated off: RED                                
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_alu_lookup_miss       # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS) that missed 
l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_hit                         # of bytes requested with tag-hit and data-hit for global stores                                    
l1tex__t_requests_pipe_tex                                                  # of requests sent to T-Stage from the L1TEX X-Stage                                                
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_miss                 # of LTS sectors from unit TEX accessing peer memory (peermem) for reductions that missed           
smsp__inst_executed_shader_cs                                               # of warp instructions executed by CS                                                               
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_local_op_st                     # of sectors requested for local stores                                                             
l1tex__t_requests_pipe_tex_mem_surface_op_atom                              # of requests sent to T-Stage for surface atomics                                                   
lts__t_requests_srcunit_tex_op_membar                                       # of LTS requests from unit TEX for memory barriers                                                 
lts__t_requests_aperture_peer_op_red_lookup_hit                             # of LTS requests accessing peer memory (peermem) for reductions that hit                           
lts__t_sectors_srcunit_tex_op_atom                                          # of LTS sectors from unit TEX for all atomics                                                      
l1tex__t_sectors_pipe_lsu_mem_global_op_red                                 # of sectors requested for global reductions                                                        
gpu__time_start                                                             start timestamp, relative to start of frame                                                         
smsp__sass_thread_inst_executed_op_fp32_pred_on                             # of single-precision floating-point thread instructions executed where all predicates were true    
lts__t_sectors_aperture_sysmem_op_atom_dot_cas_lookup_hit                   # of LTS sectors accessing system memory (sysmem) for atomic CAS that hit                           
lts__t_sectors_srcunit_tex_op_read_lookup_miss                              # of LTS sectors from unit TEX for reads that missed                                                
smsp__sass_thread_inst_executed_op_hfma_pred_on                             # of HFMA thread instructions executed where all predicates were true                               
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_hit             # of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers that hit        
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit                       # of sector requests to T-Stage with tag-hit and data-hit for global loads                          
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_st                        # of data bank conflicts generated by global stores                                                 
l1tex__data_pipe_lsu_wavefronts_mem_lg                                      # of local/global wavefronts processed by Data-Stage                                                
lts__t_requests_aperture_device_op_red                                      # of LTS requests accessing device memory (vidmem) for reductions                                   
lts__t_requests_srcunit_l1_aperture_device_op_red                           # of LTS requests from unit L1 accessing device memory (vidmem) for reductions                      
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red                           # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions                      
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu                   # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS)             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_hit                # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions that hit             
smsp__inst_executed_op_global_st                                            # of warp instructions executed: STG                                                                
smsp__inst_executed_op_shared_atom_dot_cas                                  # of warp instructions executed: ATOMS.CAS                                                          
lts__t_sectors_srcunit_l1_aperture_peer_op_atom                             # of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics                       
lts__t_requests_srcunit_tex_aperture_peer_op_atom_dot_alu                   # of LTS requests from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS)            
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_hit       # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS that hit             
lts__t_requests_srcunit_l1_op_atom_lookup_hit                               # of LTS requests from unit L1 for all atomics that hit                                             
gr__cycles_in_region                                                        # of cycles in user-defined region                                                                  
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_hit                       # of LTS sectors from unit TEX for atomic CAS that hit                                              
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red                       # of wavefronts sent to Data-Stage from T-Stage for global reductions                               
smsp__inst_executed_op_global_red_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: RED                           
lts__t_requests_srcunit_tex_op_atom_dot_alu                                 # of LTS requests from unit TEX for atomic ALU (non-CAS)                                            
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_lookup_miss              # of LTS requests from unit L1 accessing system memory (sysmem) for all atomics that missed         
smsp__sass_l1tex_pipe_lsu_wavefronts_mem_shared                             # of shared memory wavefront processed by Data-Stage                                                
smsp__inst_executed_op_surface_atom_dot_alu                                 # of warp instructions executed: SUATOM.ALU (non-CAS)                                               
lts__t_sectors_op_write_lookup_miss                                         # of LTS sectors for writes that missed                                                             
lts__t_sectors_srcunit_tex_op_atom_lookup_miss                              # of LTS sectors from unit TEX for all atomics that missed                                         
lts__t_requests_srcunit_l1_aperture_sysmem                                  # of LTS requests from unit L1 accessing system memory (sysmem)                                    
smsp__thread_inst_executed_pred_on                                          # of thread instructions executed where guard predicate was true                                   
sm__threads_launched_shader_cs                                              # of threads launched for CS                                                                       
lts__t_requests_srcunit_tex_aperture_sysmem_op_red_lookup_miss              # of LTS requests from unit TEX accessing system memory (sysmem) for reductions that missed        
l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit                         # of bytes requested with tag-hit and data-hit for global loads                                    
lts__t_requests_aperture_device_op_atom_dot_cas                             # of LTS requests accessing device memory (vidmem) for atomic CAS                                  
lts__t_sectors_aperture_peer_op_write                                       # of LTS sectors accessing peer memory (peermem) for writes                                        
l1tex__t_set_conflicts_pipe_lsu                                             # of extra cycles spent on set conflicts for LSU pipe local/global                                 
lts__t_requests_aperture_device_op_read_lookup_hit                          # of LTS requests accessing device memory (vidmem) for reads that hit                              
lts__t_sectors_srcunit_tex_aperture_device_op_read                          # of LTS sectors from unit TEX accessing device memory (vidmem) for reads                          
l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_hit                        # of sector requests to T-Stage with tag-hit and data-hit for local stores                         
gpu__time_end                                                               end timestamp, relative to start of frame                                                          
sm__mio_pq_read_cycles_active_pipe_adu                                      # of cycles where MIOP PQ sent register operands to the adu pipe                                   
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar                        # of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers                
smsp__inst_executed_op_local_ld_pred_on_any                                 # of warp instructions executed with at least 1 thread predicated on: LDL                          
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_hit       # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS that hit            
l1tex__f_wavefronts                                                         # of wavefronts processed by L1TEX F-Stage                                                         
lts__t_sectors_srcunit_l1_aperture_sysmem_op_write_lookup_hit               # of LTS sectors from unit L1 accessing system memory (sysmem) for writes that hit                 
lts__t_requests_srcunit_tex_op_write_lookup_hit                             # of LTS requests from unit TEX for writes that hit                                                
sm__mio_pq_write_cycles_active_pipe_lsu                                     # of cycles where register operands from the register file were written to MIO PQ, for the lsu pipe
dram__sectors                                                               # of sectors accessed in DRAM                                                                      
l1tex__t_set_accesses_pipe_tex_mem_surface_op_st                            # of cache set accesses for surface stores                                                         
lts__t_sectors_srcunit_l1_aperture_device_op_membar_lookup_miss             # of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers that missed     
l1tex__t_bytes_pipe_tex_mem_texture_lookup_hit                              # of bytes requested with tag-hit and data-hit for texture                                         
l1tex__t_sectors_lookup_miss                                                # of sector requests to T-Stage that missed                                                        
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for surface stores                       
smsp__sass_inst_executed_op_memory_8b                                       # of warp instructions executed by memory instructions with width 8 bit                            
l1tex__t_requests_pipe_tex_mem_surface_op_ld                                # of requests sent to T-Stage for surface loads                                                    
lts__t_requests_aperture_sysmem_op_atom_dot_alu                             # of LTS requests accessing system memory (sysmem) for atomic ALU (non-CAS)                        
lts__t_requests_srcunit_tex_aperture_peer_lookup_hit                        # of LTS requests from unit TEX accessing peer memory (peermem) that hit                           
