Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
sm__inst_executed_pipe_tensor_op_imma                                       # of warp instructions executed by tensor_op_imma pipe                                              
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_ld                    # of bytes requested for local loads                                                                
smsp__warps_eligible                                                        cumulative # of warps eligible to issue an instruction                                              
lts__t_requests_srcunit_tex_op_write_lookup_miss                            # of LTS requests from unit TEX for writes that missed                                              
lts__t_sectors_aperture_device_op_atom_lookup_miss                          # of LTS sectors accessing device memory (vidmem) for all atomics that missed                       
l1tex__t_texels                                                             # of valid texel queries at L1TEX T-Stage                                                           
lts__t_requests_op_atom_dot_alu                                             # of LTS requests for atomic ALU (non-CAS)                                                         
sm__ctas_launched_total                                                     # of CTAs launched including preemption-restore events                                             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_hit               # of LTS sectors from unit TEX accessing device memory (vidmem) for reads that hit                 
lts__t_requests_srcunit_l1_aperture_peer_op_read_lookup_miss                # of LTS requests from unit L1 accessing peer memory (peermem) for reads that missed               
lts__t_requests_srcunit_tex_aperture_peer_op_read                           # of LTS requests from unit TEX accessing peer memory (peermem) for reads                          
dram__sectors_write                                                         # of sectors written to DRAM                                                                       
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_ld                        # of data bank conflicts generated by global loads                                                 
gpu__time_duration                                                          incremental duration in nanoseconds; isolated measurement is same as gpu__time_active              
lts__t_sectors_aperture_device_op_membar                                    # of LTS sectors accessing device memory (vidmem) for memory barriers                              
l1tex__texin_sm2tex_req_cycles_active                                       # of cycles where interface carrying requests from SM to L1TEX TEXIN-Stage was active              
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_global_op_ld                    # of sectors requested for global loads                                                            
lts__t_tag_requests_hit                                                     # of LTS requests with tag hit                                                                     
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit                       # of sector requests to T-Stage with tag-hit and data-hit for global stores                        
tpc__warp_launch_cycles_stalled_shader_cs_reason_cta_allocation             # of cycles where CS warp launch was stalled due to cta allocation (non-exclusively)               
l1tex__t_bytes_lookup_miss                                                  # of bytes requested that missed                                                                   
smsp__inst_executed_op_surface_atom_dot_alu_pred_on_any                     # of warp instructions executed with at least 1 thread predicated on: SUATOM.ALU (non-CAS)         
smsp__inst_executed_op_surface_st_pred_off_all                              # of warp instructions executed with all threads predicated off: SUST                              
lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_miss                 # of LTS requests from unit L1 accessing peer memory (peermem) for reductions that missed          
gr__cycles_in_frame                                                         # of cycles in user-defined frame                                                                  
lts__t_sectors_srcunit_l1_aperture_sysmem_op_read_lookup_miss               # of LTS sectors from unit L1 accessing system memory (sysmem) for reads that missed               
l1tex__t_set_accesses_pipe_tex                                              # of cache set accesses for TEX pipe                                                               
lts__t_requests_srcunit_tex                                                 # of LTS requests from unit TEX                                                                    
